step, pre_in1, pre_in2, post_in, pre1_spike, pre2_spike, post_spike, w1, w2, c1, c2
1, 85026, 85860, 0, 0, 0, 0, 0, 0, 0, 0
2, 86823, 83905, 0, 0, 0, 0, 0, 0, 0, 0
3, 85674, 84252, 0, 0, 0, 0, 0, 0, 0, 0
4, 86240, 87057, 0, 0, 0, 0, 0, 0, 0, 0
5, 85220, 86920, 0, 0, 0, 0, 0, 0, 0, 0
6, 87428, 84751, 0, 0, 0, 0, 0, 0, 0, 0
7, 83671, 83667, 0, 0, 0, 0, 0, 0, 0, 0
8, 84307, 86606, 0, 0, 0, 0, 0, 0, 0, 0
9, 86944, 86842, 0, 0, 0, 0, 0, 0, 0, 0
10, 83856, 85722, 0, 0, 0, 0, 0, 0, 0, 0
11, 86866, 85879, 0, 1, 1, 0, 0, 0, 0, 0
12, 87436, 86309, 0, 0, 0, 0, 0, 0, 26214, 26214
13, 83970, 85149, 0, 0, 0, 0, 0, 0, 25186, 25186
14, 87139, 85944, 0, 0, 0, 0, 0, 0, 24198, 24198
15, 86135, 87182, 0, 0, 0, 0, 0, 0, 23249, 23249
16, 86110, 83963, 0, 0, 0, 0, 0, 0, 22337, 22337
17, 84830, 84498, 0, 0, 0, 0, 0, 0, 21461, 21461
18, 86372, 84823, 0, 0, 0, 0, 0, 0, 20619, 20619
19, 86787, 84981, 0, 0, 0, 0, 0, 0, 19810, 19810
20, 85251, 86725, 0, 0, 0, 0, 0, 0, 19033, 19033
21, 87195, 85372, 0, 0, 0, 0, 0, 0, 18286, 18286
22, 85405, 83981, 0, 1, 1, 0, 0, 0, 17568, 17568
23, 84210, 87013, 0, 0, 0, 0, 0, 0, 43093, 43093
24, 84563, 85262, 0, 0, 0, 0, 0, 0, 41403, 41403
25, 84992, 85075, 0, 0, 0, 0, 0, 0, 39779, 39779
26, 86959, 85559, 0, 0, 0, 0, 0, 0, 38219, 38219
27, 85945, 84021, 0, 0, 0, 0, 0, 0, 36720, 36720
28, 87287, 87294, 0, 0, 0, 0, 0, 0, 35280, 35280
29, 84204, 86745, 0, 0, 0, 0, 0, 0, 33896, 33896
30, 86711, 84006, 0, 0, 0, 0, 0, 0, 32566, 32566
31, 87123, 86497, 0, 0, 0, 0, 0, 0, 31288, 31288
32, 83908, 85184, 0, 0, 0, 0, 0, 0, 30061, 30061
33, 87099, 86976, 0, 1, 1, 0, 0, 0, 28882, 28882
