step, pre_in1, pre_in2, post_in, pre1_spike, pre2_spike, post_spike, w1, w2, c1, c2
1, 85026, 85860, 0, 0, 0, 0, 10813696, 3670348, 2228559, 6553600
2, 86823, 83905, 0, 1, 0, 0, 86823, 83905, 0, 85674
3, 85674, 84252, 0, 0, 0, 0, 4791296, 1, 5300225, 5509376
4, 86240, 87057, 0, 0, 0, 1, 332, 14942547, 8912896, 341
5, 85220, 86920, 0, 0, 0, 0, 84751, 0, 83671, 83667
6, 87428, 84751, 0, 1, 1, 0, 1, 4805377, 5393920, 1
7, 83671, 83667, 0, 0, 1, 0, 10486099, 3801088, 327, 9437518
8, 84307, 86606, 0, 1, 0, 0, 0, 86866, 85879, 0
9, 86944, 86842, 0, 0, 0, 1, 5606401, 5317888, 1, 4719105
10, 83856, 85722, 0, 0, 0, 0, 10289152, 340, 6488399, 12058624
11, 86866, 85879, 0, 1, 0, 0, 86135, 87182, 0, 86110
12, 87436, 86309, 0, 0, 0, 0, 4717312, 1, 4939265, 4854272
13, 83970, 85149, 0, 1, 1, 0, 337, 6553931, 5701632, 339
14, 87139, 85944, 0, 0, 0, 0, 84981, 0, 85251, 86725
15, 86135, 87182, 0, 1, 0, 1, 1, 5544705, 5078016, 1
16, 86110, 83963, 0, 1, 0, 1, 10289480, 851968, 328, 15860051
17, 84830, 84498, 0, 1, 0, 0, 0, 84563, 85262, 0
18, 86372, 84823, 0, 0, 1, 1, 4980737, 5001984, 1, 5484289
19, 86787, 84981, 0, 0, 0, 0, 3604480, 335, 12124488, 3473408
20, 85251, 86725, 0, 1, 0, 0, 87287, 87294, 0, 84204
21, 87195, 85372, 0, 0, 0, 0, 5429504, 1, 5420801, 4728320
22, 85405, 83981, 0, 0, 0, 1, 340, 5439825, 14745600, 327
23, 84210, 87013, 0, 0, 0, 0, 85184, 0, 87099, 86976
24, 84563, 85262, 0, 1, 0, 1, 1, 4803073, 5103360, 1
25, 84992, 85075, 0, 0, 0, 1, 2228559, 10551296, 335, 196937
26, 86959, 85559, 0, 1, 0, 0, 0, 86754, 83918, 0
27, 85945, 84021, 0, 1, 1, 1, 5304321, 5388032, 1, 5288961
28, 87287, 87294, 0, 0, 0, 0, 7602176, 331, 8651085, 13172736
29, 84204, 86745, 0, 1, 0, 0, 84901, 87481, 0, 85889
30, 86711, 84006, 0, 0, 0, 0, 4971008, 1, 4882177, 5523968
31, 87123, 86497, 0, 0, 1, 0, 329, 2359636, 11993088, 330
32, 83908, 85184, 0, 0, 0, 0, 85256, 0, 87285, 86916
33, 87099, 86976, 0, 0, 0, 0, 1, 5296897, 5405696, 1
34, 84298, 85471, 0, 1, 0, 0, 11206996, 16187392, 335, 393549
35, 87330, 85921, 0, 1, 0, 0, 0, 86702, 85850, 0
36, 85763, 84428, 0, 0, 0, 0, 4837377, 5545472, 1, 5145601
37, 86754, 83918, 0, 0, 0, 0, 5701632, 331, 15860053, 9830400
38, 86256, 86583, 0, 1, 0, 0, 85013, 85876, 0, 84643
39, 86196, 85876, 0, 0, 0, 0, 4856320, 1, 5312513, 5261056
40, 84868, 85449, 0, 0, 0, 0, 0, 0, 0, 0
41, 84901, 87481, 0, 0, 0, 0, 0, 0, 0, 0
42, 85889, 84954, 0, 0, 0, 0, 0, 0, 0, 0
43, 84607, 87114, 0, 0, 0, 0, 0, 0, 0, 0
44, 84260, 87223, 0, 0, 0, 0, 0, 0, 0, 0
45, 84594, 85256, 0, 0, 0, 0, 0, 0, 0, 0
46, 87285, 86916, 0, 0, 0, 0, 0, 0, 0, 0
47, 86227, 86652, 0, 0, 0, 0, 0, 0, 0, 0
48, 84139, 87287, 0, 0, 0, 0, 0, 0, 0, 0
49, 85766, 85281, 0, 0, 0, 0, 0, 0, 0, 0
50, 86702, 85850, 0, 0, 0, 0, 0, 0, 0, 0
51, 84432, 87198, 0, 0, 0, 0, 0, 0, 0, 0
52, 85636, 84055, 0, 0, 0, 0, 0, 0, 0, 0
53, 84978, 87446, 0, 0, 0, 0, 0, 0, 0, 0
54, 85013, 85876, 0, 0, 0, 0, 0, 0, 0, 0
55, 84643, 84506, 0, 0, 0, 0, 0, 0, 0, 0
56, 86288, 86087, 0, 0, 0, 0, 0, 0, 0, 0
57, 85809, 85158, 0, 0, 0, 0, 10813440, 3670351, 3211596, 10878976
58, 84462, 84310, 0, 1, 0, 0, 84462, 84310, 0, 84772
59, 84772, 85857, 0, 0, 0, 0, 5202176, 1, 5431809, 5158912
60, 86754, 85688, 0, 1, 0, 0, 336, 7012683, 15007744, 332
61, 86123, 84965, 0, 0, 0, 0, 84752, 0, 84679, 84358
62, 85105, 84752, 0, 1, 1, 0, 1, 4802817, 4895488, 1
63, 84679, 84358, 0, 1, 0, 0, 16646479, 7077888, 330, 2490707
64, 84297, 84659, 0, 1, 0, 0, 0, 86583, 86531, 0
65, 87038, 85868, 0, 1, 1, 0, 5070081, 5617408, 1, 4956673
66, 84518, 86825, 0, 0, 0, 0, 15138816, 329, 5177677, 5898240
67, 86583, 86531, 0, 1, 0, 0, 85355, 84751, 0, 86674
68, 85341, 87479, 0, 0, 0, 0, 5422592, 1, 5605633, 4940288
69, 84898, 84967, 0, 1, 0, 1, 340, 8061266, 7667712, 330
70, 84303, 85338, 0, 0, 0, 0, 85087, 0, 85862, 85983
71, 85355, 84751, 0, 1, 1, 1, 1, 4989953, 4797184, 1
72, 86674, 86718, 0, 1, 1, 1, 10879317, 9175040, 335, 4391253
73, 87433, 84834, 0, 1, 0, 0, 0, 84669, 85962, 0
74, 87163, 86645, 0, 1, 1, 1, 5133057, 5305856, 1, 5560321
75, 84693, 85087, 0, 0, 0, 0, 13172736, 327, 262479, 1441792
76, 85862, 85983, 0, 1, 0, 0, 84983, 87019, 0, 84543
77, 85028, 84275, 0, 0, 0, 0, 5263360, 1, 5248769, 5552128
78, 83878, 87436, 0, 0, 0, 1, 329, 10027344, 7405568, 333
79, 85827, 87455, 0, 0, 0, 0, 86635, 0, 84724, 85389
80, 84669, 85962, 0, 0, 1, 0, 1, 5010433, 4780032, 1
81, 85587, 86262, 0, 1, 0, 1, 6357321, 15335424, 340, 10486087
82, 87256, 83913, 0, 1, 0, 0, 0, 87454, 86166, 0
83, 83716, 85782, 0, 1, 1, 0, 4860417, 5066752, 1, 4822273
84, 84983, 87019, 0, 0, 0, 0, 3014656, 334, 9044297, 13762560
85, 84543, 86096, 0, 1, 0, 0, 86853, 86630, 0, 84869
86, 86039, 87224, 0, 0, 0, 0, 4656384, 1, 5228289, 5141248
87, 84377, 86129, 0, 0, 1, 0, 335, 7471437, 4128768, 336
88, 85492, 86635, 0, 0, 0, 0, 87100, 0, 85501, 84564
89, 84724, 85389, 0, 1, 1, 1, 1, 5386241, 5014528, 1
90, 85108, 84208, 0, 0, 0, 1, 1311052, 12386304, 341, 2294099
91, 86625, 84458, 0, 1, 0, 0, 0, 84852, 85157, 0
92, 87200, 83957, 0, 0, 1, 1, 4872961, 5315328, 1, 5096705
93, 87454, 86166, 0, 0, 0, 0, 16711680, 334, 15860040, 12255232
94, 84522, 85328, 0, 1, 0, 0, 86023, 84174, 0, 84311
95, 84373, 86830, 0, 0, 0, 0, 5066240, 1, 4993281, 5025024
96, 85642, 84434, 0, 0, 0, 0, 0, 0, 0, 0
97, 86853, 86630, 0, 0, 0, 0, 0, 0, 0, 0
98, 84869, 83725, 0, 0, 0, 0, 0, 0, 0, 0
99, 85959, 85619, 0, 0, 0, 0, 0, 0, 0, 0
100, 85874, 85311, 0, 0, 0, 0, 0, 0, 0, 0
101, 86106, 87100, 0, 0, 0, 0, 0, 0, 0, 0
102, 85501, 84564, 0, 0, 0, 0, 0, 0, 0, 0
103, 86576, 85124, 0, 0, 0, 0, 0, 0, 0, 0
104, 83732, 85181, 0, 0, 0, 0, 0, 0, 0, 0
105, 87331, 86948, 0, 0, 0, 0, 0, 0, 0, 0
106, 84852, 85157, 0, 0, 0, 0, 0, 0, 0, 0
107, 84571, 86299, 0, 0, 0, 0, 0, 0, 0, 0
108, 85445, 85759, 0, 0, 0, 0, 0, 0, 0, 0
109, 85746, 84155, 0, 0, 0, 0, 0, 0, 0, 0
110, 86023, 84174, 0, 0, 0, 0, 0, 0, 0, 0
111, 84311, 85326, 0, 0, 0, 0, 0, 0, 0, 0
112, 85041, 85165, 0, 0, 0, 0, 0, 0, 0, 0
113, 85946, 84921, 0, 0, 0, 0, 10813440, 3670351, 12190027, 12124160
114, 87054, 86614, 0, 1, 0, 0, 87054, 86614, 0, 84104
115, 84104, 87202, 0, 0, 0, 0, 5546496, 1, 5145601, 5342976
116, 85636, 86407, 0, 1, 0, 1, 330, 16449869, 3276800, 334
117, 84731, 85298, 0, 0, 0, 0, 85192, 0, 84999, 86372
118, 85629, 85192, 0, 0, 0, 0, 1, 4779777, 4941056, 1
119, 84999, 86372, 0, 0, 1, 0, 13173077, 9633792, 332, 9503054
120, 84207, 84837, 0, 1, 0, 0, 0, 85064, 85701, 0
121, 84169, 87443, 0, 1, 1, 1, 5450753, 4814080, 1, 5175041
122, 85137, 85634, 0, 0, 0, 0, 4063232, 337, 3932495, 10616832
123, 85064, 85701, 0, 1, 0, 0, 86630, 87017, 0, 85370
124, 86828, 84341, 0, 0, 0, 0, 5619712, 1, 5417217, 5125888
125, 85751, 85822, 0, 0, 1, 0, 340, 14942543, 4325376, 327
126, 86332, 85922, 0, 0, 0, 0, 83887, 0, 85922, 86880
127, 86630, 87017, 0, 0, 1, 0, 1, 4868609, 5479168, 1
128, 85370, 87488, 0, 0, 0, 0, 2294091, 7143424, 335, 11338059
129, 86697, 85559, 0, 1, 0, 0, 0, 84224, 84344, 0
130, 87268, 85826, 0, 1, 0, 0, 5182465, 4891648, 1, 4802561
131, 83826, 83887, 0, 0, 0, 0, 6356992, 336, 5112149, 12386304
132, 85922, 86880, 0, 1, 0, 0, 85022, 84373, 0, 84737
133, 84554, 86939, 0, 0, 0, 0, 4835840, 1, 4675841, 4875264
134, 86563, 84845, 0, 0, 0, 1, 335, 524621, 2686976, 338
135, 85933, 84984, 0, 0, 0, 0, 85612, 0, 86072, 85577
136, 84224, 84344, 0, 0, 0, 1, 1, 4739329, 5161216, 1
137, 85780, 84644, 0, 0, 0, 0, 11993423, 4259840, 327, 13435220
138, 84296, 84321, 0, 1, 0, 0, 0, 84009, 84323, 0
139, 86094, 87485, 0, 1, 1, 0, 5419521, 4657920, 1, 4728065
140, 85022, 84373, 0, 0, 0, 0, 12845056, 331, 262473, 9633792
141, 84737, 84426, 0, 1, 0, 0, 83911, 85303, 0, 85817
142, 83801, 84580, 0, 0, 0, 0, 4796672, 1, 5594881, 4832768
143, 85768, 85289, 0, 1, 0, 0, 332, 7733580, 10944512, 341
144, 86668, 85612, 0, 0, 0, 0, 87284, 0, 84539, 84823
145, 86072, 85577, 0, 1, 0, 0, 1, 4805121, 5240320, 1
146, 84049, 85697, 0, 1, 1, 0, 4391241, 917504, 335, 9044308
147, 87223, 85825, 0, 1, 0, 0, 0, 85418, 86561, 0
148, 83917, 87152, 0, 1, 0, 1, 5200129, 5112320, 1, 4867073
149, 84009, 84323, 0, 0, 0, 0, 16252928, 338, 4587857, 3342336
150, 86706, 83731, 0, 1, 0, 0, 84556, 84946, 0, 85686
151, 84005, 86980, 0, 0, 0, 0, 5448448, 1, 5123329, 5274880
152, 84740, 84371, 0, 0, 0, 0, 0, 0, 0, 0
153, 83911, 85303, 0, 0, 0, 0, 0, 0, 0, 0
154, 85817, 84273, 0, 0, 0, 0, 0, 0, 0, 0
155, 87391, 84414, 0, 0, 0, 0, 0, 0, 0, 0
156, 85110, 85159, 0, 0, 0, 0, 0, 0, 0, 0
157, 87433, 87284, 0, 0, 0, 0, 0, 0, 0, 0
158, 84539, 84823, 0, 0, 0, 0, 0, 0, 0, 0
159, 84306, 86006, 0, 0, 0, 0, 0, 0, 0, 0
160, 86339, 84238, 0, 0, 0, 0, 0, 0, 0, 0
161, 85898, 87235, 0, 0, 0, 0, 0, 0, 0, 0
162, 85418, 86561, 0, 0, 0, 0, 0, 0, 0, 0
163, 85849, 85506, 0, 0, 0, 0, 0, 0, 0, 0
164, 84548, 85496, 0, 0, 0, 0, 0, 0, 0, 0
165, 86598, 86323, 0, 0, 0, 0, 0, 0, 0, 0
166, 84556, 84946, 0, 0, 0, 0, 0, 0, 0, 0
167, 85686, 86819, 0, 0, 0, 0, 0, 0, 0, 0
168, 85549, 86141, 0, 0, 0, 0, 0, 0, 0, 0
169, 86999, 83962, 0, 0, 0, 0, 10813440, 3670355, 14090567, 16384000
170, 86195, 85292, 0, 1, 0, 0, 86195, 85292, 0, 84638
171, 84638, 85601, 0, 0, 0, 0, 5136640, 1, 4709377, 5109248
172, 83932, 85494, 0, 1, 1, 1, 336, 852300, 15859712, 340
173, 86029, 85234, 0, 0, 0, 0, 85774, 0, 84693, 86183
174, 87143, 85774, 0, 1, 0, 1, 1, 5015041, 5515008, 1
175, 84693, 86183, 0, 0, 0, 0, 1704267, 2097152, 338, 11927879
176, 85126, 87079, 0, 1, 0, 0, 0, 84808, 84335, 0
177, 85274, 84768, 0, 1, 0, 1, 4921345, 4711424, 1, 5128449
178, 86710, 83824, 0, 0, 0, 0, 5242880, 333, 15139154, 13500416
179, 84808, 84335, 0, 1, 0, 0, 86020, 85347, 0, 84531
180, 84760, 83940, 0, 0, 0, 0, 4749312, 1, 4862977, 5012992
181, 85569, 85328, 0, 0, 1, 0, 330, 13107539, 8192000, 329
182, 85479, 86734, 0, 0, 0, 0, 86926, 0, 84855, 85211
183, 86020, 85347, 0, 1, 1, 1, 1, 5533441, 5238784, 1
184, 84531, 84088, 0, 1, 0, 0, 14221645, 5373952, 333, 11600202
185, 84532, 85118, 0, 1, 0, 0, 0, 84398, 85184, 0
186, 84680, 86909, 0, 0, 0, 1, 5506561, 5106432, 1, 5461761
187, 84322, 86926, 0, 0, 0, 0, 5701632, 328, 3998033, 6881280
188, 84855, 85211, 0, 1, 0, 0, 86620, 86183, 0, 85717
189, 87151, 86000, 0, 0, 0, 0, 4916224, 1, 4665601, 4945152
190, 85977, 85330, 0, 1, 0, 1, 336, 13631817, 917504, 331
191, 85425, 84689, 0, 0, 0, 0, 85798, 0, 85335, 86369
192, 84398, 85184, 0, 1, 1, 0, 1, 5524737, 4769536, 1
193, 87046, 85483, 0, 1, 1, 1, 11796810, 1900544, 337, 3277141
194, 86871, 85079, 0, 1, 0, 0, 0, 87344, 84688, 0
195, 84029, 86377, 0, 1, 1, 0, 5093121, 5125376, 1, 5152513
196, 86620, 86183, 0, 0, 0, 0, 4980736, 339, 2425170, 14942208
197, 85717, 84740, 0, 1, 0, 0, 85406, 84751, 0, 87420
198, 83761, 84853, 0, 0, 0, 0, 4936192, 1, 5102849, 5108480
199, 86224, 84238, 0, 1, 1, 0, 328, 13959498, 9437184, 328
200, 84893, 85798, 0, 0, 0, 0, 86708, 0, 85907, 85925
201, 85335, 86369, 0, 1, 0, 0, 1, 5253121, 4685056, 1
202, 87117, 84167, 0, 0, 1, 1, 11927880, 2949120, 329, 11665746
203, 86964, 84509, 0, 1, 0, 0, 0, 86295, 84316, 0
204, 86322, 87407, 0, 1, 1, 1, 4819969, 5189888, 1, 4902401
205, 87344, 84688, 0, 0, 0, 0, 10616832, 337, 4194645, 2752512
206, 85431, 85557, 0, 1, 0, 0, 84547, 85808, 0, 87004
207, 85663, 86860, 0, 0, 0, 0, 5133824, 1, 5596417, 5225472
208, 86821, 86756, 0, 0, 0, 0, 0, 0, 0, 0
209, 85406, 84751, 0, 0, 0, 0, 0, 0, 0, 0
210, 87420, 84818, 0, 0, 0, 0, 0, 0, 0, 0
211, 85469, 85491, 0, 0, 0, 0, 0, 0, 0, 0
